"idseaConditionFact";"bulk";"texture";"shape";"uniformity";"score";"date";"idspot"
25;1;1;4;2;"8";"2020-03-05 06:00:00";380
26;1;1;4;1;"7";"2020-03-05 07:00:00";380
27;1;1;4;1;"7";"2020-03-05 06:00:00";386
30;1;1;4;1;"4";"2020-03-06 06:00:00";386
31;1;2;3;1;"3";"2020-03-06 09:00:00";386
32;1;1;3;1;"5";"2020-03-06 17:00:00";386
33;1;2;3;0;"2";"2020-03-07 06:00:00";386
34;1;1;3;1;"3";"2020-03-07 08:00:00";386
35;1;2;4;1;"4";"2020-03-07 11:00:00";386
36;1;2;3;1;"5";"2020-03-07 14:00:00";386
37;1;3;3;0;"1";"2020-03-07 16:00:00";386
38;1;3;3;0;"1";"2020-03-08 08:00:00";386
39;1;2;1;1;"4";"2020-03-08 10:00:00";386
40;2;1;1;1;"4";"2020-03-06 06:00:00";380
41;1;1;4;1;"6";"2020-03-06 09:00:00";380
42;1;1;1;0;"3";"2020-03-06 10:00:00";380
43;1;1;1;1;"4";"2020-03-06 16:00:00";380
44;1;2;3;0;"2";"2020-03-07 06:00:00";380
45;1;1;1;1;"3";"2020-03-07 08:00:00";380
46;1;2;3;0;"3";"2020-03-07 12:00:00";380
47;1;3;3;0;"1";"2020-03-07 14:00:00";380
48;1;2;3;0;"1";"2020-03-08 07:00:00";380
49;1;3;3;0;"3";"2020-03-08 11:00:00";380
50;1;2;1;0;"2";"2020-03-08 17:00:00";380
51;1;2;3;2;"6";"2020-03-09 06:00:00";380
52;0;2;4;1;"3";"2020-03-09 08:00:00";380
53;1;3;3;1;"5";"2020-03-09 10:00:00";380
54;0;3;3;0;"1";"2020-03-09 14:00:00";380
55;1;2;3;1;"4";"2020-03-13 19:00:00";386
56;1;2;3;0;"1";"2020-03-14 06:00:00";386
57;1;1;4;1;"5";"2020-03-14 09:00:00";386
58;1;2;3;0;"2";"2020-03-14 12:00:00";386
59;0;3;3;0;"0";"2020-03-14 13:00:00";386
60;1;3;3;0;"2";"2020-03-15 06:00:00";386
61;1;2;3;1;"4";"2020-03-15 09:00:00";386
62;1;2;3;1;"4";"2020-03-10 06:00:00";380
63;0;1;3;0;"1";"2020-03-10 08:00:00";380
64;1;2;1;1;"3";"2020-03-10 09:00:00";380
65;1;3;3;0;"1";"2020-03-10 13:00:00";380
66;1;1;3;1;"3";"2020-03-11 08:00:00";380
67;1;2;3;1;"6";"2020-03-11 09:00:00";380
68;1;2;1;1;"3";"2020-03-11 11:00:00";380
69;0;3;3;0;"1";"2020-03-11 13:00:00";380
70;0;2;3;0;"1";"2020-03-12 06:00:00";380
71;0;3;3;0;"1";"2020-03-12 12:00:00";380
72;0;4;3;0;"0";"2020-03-12 14:00:00";380
73;1;3;3;0;"2";"2020-03-13 07:00:00";380
74;0;3;3;0;"1";"2020-03-13 16:00:00";380
75;1;1;4;1;"3";"2020-03-14 06:00:00";380
76;1;1;4;1;"3";"2020-03-14 08:00:00";380
77;0;2;3;1;"2";"2020-03-14 10:00:00";380
78;0;2;3;0;"1";"2020-03-14 12:00:00";380
79;0;3;3;0;"1";"2020-03-14 15:00:00";380
80;1;3;3;0;"1";"2020-03-15 10:00:00";380
81;0;1;3;1;"1";"2020-03-16 06:00:00";380
82;1;1;3;2;"5";"2020-03-16 10:00:00";380
83;1;1;4;2;"5";"2020-03-16 11:00:00";380
84;0;1;3;2;"2";"2020-03-16 13:00:00";380
85;0;1;3;2;"1";"2020-03-17 06:00:00";380
86;1;1;3;2;"4";"2020-03-17 08:00:00";380
87;0;1;3;2;"2";"2020-03-17 12:00:00";380
88;1;1;4;1;"4";"2020-03-20 06:00:00";386
89;1;2;3;1;"3";"2020-03-20 09:00:00";386
90;0;2;3;1;"1";"2020-03-20 12:00:00";386
91;0;1;3;1;"1";"2020-03-22 06:00:00";386
92;0;1;4;1;"1";"2020-03-21 06:00:00";386
93;0;2;4;1;"1";"2020-03-21 08:00:00";386
94;1;1;4;1;"4";"2020-03-22 10:00:00";386
95;0;1;1;1;"2";"2020-03-22 12:00:00";386
96;1;2;3;1;"3";"2020-03-22 16:00:00";386
97;1;3;3;0;"1";"2020-03-22 18:00:00";386
98;0;2;3;0;"1";"2020-03-23 06:00:00";386
99;0;2;3;0;"1";"2020-03-23 16:00:00";386
100;1;2;3;0;"1";"2020-03-24 06:00:00";386
101;1;3;3;0;"1";"2020-03-24 10:00:00";386
102;1;2;3;1;"4";"2020-03-24 16:00:00";386
103;0;2;3;0;"1";"2020-03-25 06:00:00";386
104;1;3;3;0;"3";"2020-03-25 12:00:00";386
105;0;3;3;0;"1";"2020-03-25 16:00:00";386
106;1;2;3;0;"1";"2020-03-26 06:00:00";386
107;1;1;4;1;"4";"2020-03-26 09:00:00";386
108;1;2;1;1;"5";"2020-03-26 11:00:00";386
109;1;3;3;0;"2";"2020-03-26 15:00:00";386
110;0;3;3;0;"1";"2020-03-26 18:00:00";386
111;1;3;3;0;"1";"2020-03-27 06:00:00";386
112;1;2;1;1;"3";"2020-03-27 12:00:00";386
113;1;1;3;0;"2";"2020-03-28 06:00:00";386
114;0;1;3;1;"1";"2020-03-28 08:00:00";386
115;1;2;1;1;"1";"2020-03-28 12:00:00";386
116;1;2;3;1;"2";"2020-03-28 14:00:00";386
117;1;2;3;1;"2";"2020-03-29 06:00:00";386
118;1;2;3;2;"5";"2020-03-29 12:00:00";386
119;1;2;3;1;"4";"2020-03-29 13:00:00";386
120;1;3;1;1;"3";"2020-03-29 15:00:00";386
121;0;1;3;2;"2";"2020-03-21 06:00:00";380
122;0;1;3;2;"1";"2020-03-21 10:00:00";380
123;1;2;3;0;"2";"2020-03-22 07:00:00";380
124;0;1;3;1;"1";"2020-03-22 08:00:00";380
125;0;2;3;1;"1";"2020-03-22 11:00:00";380
126;0;2;3;0;"1";"2020-03-23 06:00:00";380
127;0;2;3;0;"1";"2020-03-24 06:00:00";380
128;1;3;3;1;"3";"2020-03-24 10:00:00";380
129;0;2;3;0;"2";"2020-03-24 12:00:00";380
130;0;2;3;0;"1";"2020-03-25 06:00:00";380
131;0;3;3;0;"1";"2020-03-25 10:00:00";380
132;1;3;3;0;"2";"2020-03-25 17:00:00";380
133;0;2;3;0;"1";"2020-03-26 06:00:00";380
134;0;3;3;0;"1";"2020-03-26 15:00:00";380
135;1;3;3;0;"2";"2020-03-27 06:00:00";380
136;1;2;1;0;"2";"2020-03-27 09:00:00";380
137;1;2;3;1;"4";"2020-03-27 12:00:00";380
138;1;1;3;2;"4";"2020-04-04 06:00:00";386
139;0;2;1;1;"1";"2020-04-04 11:00:00";386
140;1;2;1;1;"2";"2020-04-05 06:00:00";386
141;1;1;2;1;"4";"2020-04-05 08:00:00";386
142;1;2;1;1;"4";"2020-04-05 10:00:00";386
143;1;2;3;1;"5";"2020-04-05 11:00:00";386
144;1;2;3;2;"6";"2020-04-05 12:00:00";386
145;0;3;3;0;"1";"2020-04-05 15:00:00";386
146;1;3;3;0;"1";"2020-04-06 07:00:00";386
147;0;4;1;0;"1";"2020-04-06 10:00:00";386
148;0;2;1;0;"1";"2020-04-06 13:00:00";386
149;1;2;3;1;"4";"2020-04-06 16:00:00";386
150;1;1;3;2;"8";"2020-04-03 06:00:00";386
151;1;2;3;2;"5";"2020-04-03 14:00:00";386
152;1;1;3;0;"3";"2020-04-03 06:00:00";380
153;1;1;3;1;"4";"2020-04-03 08:00:00";380
154;0;1;2;1;"2";"2020-04-03 12:00:00";380
155;1;2;2;1;"4";"2020-04-04 06:00:00";380
156;1;1;1;1;"3";"2020-04-04 08:00:00";380
157;1;1;2;2;"6";"2020-04-04 10:00:00";380
158;0;1;3;1;"2";"2020-04-04 12:00:00";380
159;1;1;2;1;"4";"2020-04-04 14:00:00";380
160;1;1;1;1;"3";"2020-04-05 07:00:00";380
161;1;2;1;1;"2";"2020-04-05 09:00:00";380
162;1;2;1;1;"2";"2020-04-06 06:00:00";380
163;1;3;3;1;"2";"2020-04-06 10:00:00";380
164;1;3;1;0;"1";"2020-04-06 12:00:00";380
165;1;1;3;1;"4";"2020-04-06 14:00:00";380
166;1;1;2;2;"6";"2020-04-07 06:00:00";380
167;1;1;1;2;"4";"2020-04-07 09:00:00";380
168;0;1;3;2;"2";"2020-04-07 12:00:00";380
169;1;1;1;1;"2";"2020-04-08 06:00:00";380
170;1;2;3;0;"2";"2020-04-06 06:00:00";380
171;0;1;1;2;"1";"2020-04-08 09:00:00";380
172;1;1;1;1;"2";"2020-04-08 18:00:00";380
173;0;1;4;1;"1";"2020-04-09 07:00:00";380
174;0;1;4;2;"1";"2020-04-10 06:00:00";380
175;1;1;2;2;"4";"2020-04-10 08:00:00";380
